# k =   0.500000   0.750000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.39484624E+00  -6.90922530E+00   4.85620938E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.42188518E-01   7.50443808E-01  -1.91744709E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     11  -1.13234563E-01  -6.74955580E-01  -5.61721017E-01
     12  -1.21215332E-01  -7.94826895E-01  -6.73611563E-01
     13  -1.29683559E-01  -8.00118221E-01  -6.70434663E-01
     14  -1.39928387E-01  -8.05762664E-01  -6.65834278E-01
     15  -1.41413648E-01  -8.07048520E-01  -6.65634872E-01
     16  -1.42775930E-01  -8.08313695E-01  -6.65537765E-01
     17  -2.55501453E-01  -9.02434905E-01  -6.46933452E-01
     18  -3.62956742E-01  -1.00372119E+00  -6.40764452E-01
     19  -3.96010160E-01  -1.01308340E+00  -6.17073244E-01
     20  -4.33771320E-01  -1.02215337E+00  -5.88382046E-01
     21  -4.75759290E-01  -1.03549009E+00  -5.59730800E-01
     22  -5.34834629E-01  -1.05393914E+00  -5.19104514E-01
     23  -7.19637422E-01  -1.07992571E+00  -3.60288293E-01
     24  -9.67971089E-01  -1.10535862E+00  -1.37387535E-01
     25  -1.01272688E+00  -1.11089073E+00  -9.81638487E-02
     26  -1.03415872E+00  -1.11402899E+00  -7.98702786E-02
     27  -1.04242698E+00  -1.11614074E+00  -7.37137576E-02
     28  -1.04687792E+00  -1.11781429E+00  -7.09363670E-02
     29  -1.04877783E+00  -1.11933649E+00  -7.05586588E-02
     30  -1.05065335E+00  -1.12080234E+00  -7.01489884E-02
     31  -1.05225748E+00  -1.12339757E+00  -7.11400916E-02
     32  -1.05357850E+00  -1.12556823E+00  -7.19897315E-02
     33  -1.05533541E+00  -1.12829486E+00  -7.29594516E-02
     34  -1.05671996E+00  -1.13062155E+00  -7.39015883E-02
     35  -1.05975224E+00  -1.13208265E+00  -7.23304081E-02
     36  -1.06222765E+00  -1.13277260E+00  -7.05449526E-02
     37  -1.11193969E+00  -1.23599158E+00  -1.24051885E-01
     38  -1.13960843E+00  -1.29098688E+00  -1.51378449E-01
     39  -1.21153755E+00  -1.42705723E+00  -2.15519679E-01
     40  -1.34217637E+00  -1.64865801E+00  -3.06481644E-01
     41  -1.37874742E+00  -1.70977826E+00  -3.31030839E-01
     42  -1.39753387E+00  -1.73876978E+00  -3.41235906E-01
     43  -1.40091138E+00  -1.74194978E+00  -3.41038395E-01
     44  -1.40212933E+00  -1.74303715E+00  -3.40907820E-01
     45  -1.40480247E+00  -1.74566047E+00  -3.40857995E-01
     46  -1.40679489E+00  -1.74811799E+00  -3.41323104E-01
     47  -1.41542644E+00  -1.75121950E+00  -3.35793060E-01
     48  -1.42315230E+00  -1.75371908E+00  -3.30566778E-01
     49  -1.42765112E+00  -1.75575877E+00  -3.28107654E-01
     50  -1.43214453E+00  -1.75840906E+00  -3.26264531E-01
     51  -1.43749318E+00  -1.76016769E+00  -3.22674503E-01
     52  -1.44371372E+00  -1.76175692E+00  -3.18043201E-01
     53  -1.44830879E+00  -1.76268502E+00  -3.14376231E-01
     54  -1.45162249E+00  -1.76381969E+00  -3.12197206E-01
     55  -1.45811512E+00  -1.77218116E+00  -3.14066034E-01
     56  -1.46178204E+00  -1.77784056E+00  -3.16058514E-01
     57  -1.46606897E+00  -1.77950340E+00  -3.13434434E-01
     58  -1.46866910E+00  -1.78194463E+00  -3.13275530E-01
     59  -1.55585900E+00  -1.97973794E+00  -4.23878941E-01
     60  -1.65976402E+00  -2.00834990E+00  -3.48585877E-01
     61  -1.89378666E+00  -2.07358847E+00  -1.79801811E-01
     62  -2.15752972E+00  -2.11740475E+00   4.01249632E-02
     63  -2.21042084E+00  -2.17204184E+00   3.83789980E-02
     64  -2.23975309E+00  -2.22092008E+00   1.88330074E-02
     65  -2.25903093E+00  -2.23711826E+00   2.19126640E-02
     66  -2.27267365E+00  -2.25232702E+00   2.03466317E-02
     67  -2.28132516E+00  -2.29021458E+00  -8.88941493E-03
     68  -2.30503183E+00  -2.31404907E+00  -9.01723439E-03
     69  -2.32427680E+00  -2.32929773E+00  -5.02093426E-03
     70  -2.38120931E+00  -2.34607242E+00   3.51368978E-02
     71  -2.47309601E+00  -2.35830936E+00   1.14786654E-01
     72  -2.56047607E+00  -2.36984756E+00   1.90628509E-01
